,Dia,Estado,Municipio,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
1776203,2023-10-30,AMAPÁ,TARTARUGALZINHO,6.0,0.0,1.0,1.3534,-50.6625,98.0
127985,2023-06-25,PARÁ,CONCEIÇÃO DO ARAGUAIA,32.0,0.0,1.0,-8.19277,-49.63984,1.9
1543720,2023-08-23,MATO GROSSO,GAÚCHA DO NORTE,59.0,0.0,1.0,-13.2506,-53.625,121.9
1781180,2023-10-30,MARANHÃO,TUFILÂNDIA,6.0,0.0,1.0,-3.8516,-45.5574,286.6
809292,2023-09-09,PARÁ,NOVO PROGRESSO,0.0,0.0,1.0,-7.68283,-55.51295,1.2
848294,2023-09-10,PARÁ,SENADOR JOSÉ PORFÍRIO,29.0,0.56,1.0,-2.8788,-51.8756,91.3
1835085,2023-11-03,PARÁ,PORTO DE MOZ,10.0,0.0,1.0,-2.0868,-52.0373,151.7
1119448,2023-09-24,MARANHÃO,ARAME,2.0,0.0,1.0,-4.892,-45.8833,160.2
840929,2023-09-10,PARÁ,ÓBIDOS,20.0,0.0,1.0,1.60904,-55.62172,5.8
153942,2023-07-06,PARÁ,CONCEIÇÃO DO ARAGUAIA,48.0,0.0,1.0,-8.02575,-49.59364,2.5
1721457,2023-10-27,MARANHÃO,SANTA LUZIA,11.0,0.0,1.0,-4.0351,-45.9738,314.2
